<<<<<<< Updated upstream
In Step: 1 There is 12 alive cells 
In Step: 2 There is 12 alive cells 
In Step: 3 There is 12 alive cells 
In Step: 4 There is 12 alive cells 
In Step: 5 There is 12 alive cells 
In Step: 6 There is 12 alive cells 
In Step: 7 There is 12 alive cells 
In Step: 8 There is 12 alive cells 
In Step: 9 There is 12 alive cells 
In Step: 10 There is 12 alive cells 
In Step: 11 There is 12 alive cells 
In Step: 12 There is 12 alive cells 
In Step: 13 There is 12 alive cells 
In Step: 14 There is 12 alive cells 
In Step: 15 There is 12 alive cells 
In Step: 16 There is 12 alive cells 
In Step: 17 There is 12 alive cells 
In Step: 18 There is 12 alive cells 
In Step: 19 There is 12 alive cells 
In Step: 20 There is 12 alive cells 
In Step: 21 There is 12 alive cells 
In Step: 22 There is 12 alive cells 
In Step: 23 There is 12 alive cells 
In Step: 24 There is 12 alive cells 
In Step: 25 There is 12 alive cells 
In Step: 26 There is 12 alive cells 
In Step: 27 There is 12 alive cells 
In Step: 28 There is 12 alive cells 
In Step: 29 There is 12 alive cells 
In Step: 30 There is 12 alive cells 
In Step: 31 There is 14 alive cells 
In Step: 32 There is 9 alive cells 
In Step: 33 There is 6 alive cells 
In Step: 34 There is 7 alive cells 
In Step: 35 There is 4 alive cells 
In Step: 36 There is 0 alive cells 
In Step: 37 There is 0 alive cells 
In Step: 38 There is 0 alive cells 
In Step: 39 There is 0 alive cells 
In Step: 40 There is 0 alive cells 
In Step: 41 There is 0 alive cells 
In Step: 42 There is 0 alive cells 
In Step: 43 There is 0 alive cells 
In Step: 44 There is 0 alive cells 
In Step: 45 There is 0 alive cells 
In Step: 46 There is 0 alive cells 
In Step: 47 There is 0 alive cells 
In Step: 48 There is 0 alive cells 
In Step: 49 There is 0 alive cells 
In Step: 50 There is 0 alive cells 
In Step: 51 There is 0 alive cells 
In Step: 52 There is 0 alive cells 
In Step: 53 There is 0 alive cells 
In Step: 54 There is 0 alive cells 
In Step: 55 There is 0 alive cells 
In Step: 56 There is 0 alive cells 
In Step: 57 There is 0 alive cells 
In Step: 58 There is 0 alive cells 
In Step: 59 There is 0 alive cells 
In Step: 60 There is 0 alive cells 
In Step: 61 There is 0 alive cells 
In Step: 62 There is 0 alive cells 
In Step: 63 There is 0 alive cells 
In Step: 64 There is 0 alive cells 
In Step: 65 There is 0 alive cells 
In Step: 66 There is 0 alive cells 
In Step: 67 There is 0 alive cells 
In Step: 68 There is 0 alive cells 
In Step: 69 There is 0 alive cells 
In Step: 70 There is 0 alive cells 
In Step: 71 There is 0 alive cells 
In Step: 72 There is 0 alive cells 
In Step: 73 There is 0 alive cells 
In Step: 74 There is 0 alive cells 
In Step: 75 There is 0 alive cells 
In Step: 76 There is 0 alive cells 
In Step: 77 There is 0 alive cells 
In Step: 78 There is 0 alive cells 
In Step: 79 There is 0 alive cells 
In Step: 80 There is 0 alive cells 
In Step: 81 There is 0 alive cells 
In Step: 82 There is 0 alive cells 
In Step: 83 There is 0 alive cells 
In Step: 84 There is 0 alive cells 
In Step: 85 There is 0 alive cells 
In Step: 86 There is 0 alive cells 
In Step: 87 There is 0 alive cells 
In Step: 88 There is 0 alive cells 
In Step: 89 There is 0 alive cells 
In Step: 90 There is 0 alive cells 
In Step: 91 There is 0 alive cells 
In Step: 92 There is 0 alive cells 
In Step: 93 There is 0 alive cells 
In Step: 94 There is 0 alive cells 
In Step: 95 There is 0 alive cells 
In Step: 96 There is 0 alive cells 
In Step: 97 There is 0 alive cells 
In Step: 98 There is 0 alive cells 
In Step: 99 There is 0 alive cells 
In Step: 100 There is 0 alive cells 
=======
In Step: 0 There are 5 alive cells
>>>>>>> Stashed changes
